City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Tevaitoa,PF,77.52,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
5,Yellowknife,CA,74.28,overcast clouds,62.456,-114.3525,The Explorer Hotel
6,Rikitea,PF,72.45,broken clouds,-23.1203,-134.9692,People ThankYou
9,Katsuura,JP,79.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
10,Ponta Do Sol,PT,74.01,clear sky,32.6667,-17.1,Hotel do Campo
11,Butaritari,KI,81.46,moderate rain,3.0707,172.7902,Isles Sunset Lodge
14,Bengkulu,ID,74.59,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
15,Ban Mo,TH,82.29,light rain,14.6154,100.7273,บริษัท สยาม เอ็น พี อาร์ จำกัด
18,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Sunset Resort
19,Mayumba,GA,71.85,scattered clouds,-3.432,10.6554,LIKWALE LODGE
21,Jamestown,US,71.1,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Lagoa,PT,71.08,clear sky,39.05,-27.9833,Graciosa Resort - Biosphere Island Hotel
23,Morondava,MG,70.74,few clouds,-20.2833,44.2833,La Case Bambou
27,Kahului,US,86.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
28,Smithers,CA,84.27,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
31,Wucheng,CN,75.06,scattered clouds,29.6008,118.175,休宁服务区-宾馆
32,Paragominas,BR,74.3,heavy intensity rain,-2.9667,-47.4833,INOVA
33,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Hotel Central
35,Wewak,PG,78.1,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
37,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Zaraza,VE,79.48,overcast clouds,9.3503,-65.3245,Hotel Zaraza
40,Kabinda,CD,73.04,broken clouds,-6.1333,24.4833,Village Mianda Mutole
42,Mtambile,TZ,74.95,overcast clouds,-5.3833,39.7,Lala Lodge Pemba Zanzibar
45,Bandarbeyla,SO,76.57,scattered clouds,9.4942,50.8122,JABIR HOTEL
46,Port-Gentil,GA,76.57,few clouds,-0.7193,8.7815,Fengshui Residence
48,Hambantota,LK,79.32,few clouds,6.1241,81.1185,Bungalow 63
49,Rapid Valley,US,83.57,overcast clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
52,Mantua,IT,80.91,clear sky,45.1667,10.7833,Hotel la Favorita
53,Sibolga,ID,75.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
54,Rawlins,US,84.42,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
56,Taloqan,AF,76.57,broken clouds,36.7361,69.5345,Saraisang street
57,Vaini,TO,73.56,light rain,-21.2,-175.2,Keleti Beach Resort
58,Ribeira Grande,PT,71.83,clear sky,38.5167,-28.7,Hotel do Canal | Horta - Faial
62,Mana,GF,80.04,few clouds,5.6592,-53.7767,LE SAMANA
63,Albany,US,75.16,scattered clouds,42.6001,-73.9662,The Inn at Deer Meadow
64,Kirakira,SB,79.2,broken clouds,-10.4544,161.9205,SanBiz Lodge
66,Robertsport,LR,77.99,light rain,6.7533,-11.3686,Kwepunha Retreat
67,Bac Lieu,VN,79.05,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
68,Mapastepec,MX,87.15,overcast clouds,15.4333,-92.9,Hotel San Carlos
73,Bongandanga,CD,75.76,overcast clouds,1.5,21.05,
77,Santo Domingo,DO,87.93,few clouds,18.5001,-69.9886,Cabañas City Heart
81,Sukhumi,GE,70.57,clear sky,43.0033,41.0153,Ritsa Hotel
82,Celestun,MX,88.48,clear sky,20.8667,-90.4,Posada Lilia
85,Bonoua,CI,78.42,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
88,Campo Maior,BR,88.81,overcast clouds,-4.8278,-42.1686,Elite Hotel
91,Trinidad,BO,72.95,scattered clouds,-14.8333,-64.9,Tapacare Resort
92,Hilo,US,83.93,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Alta Floresta,BR,87.08,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
97,Balikpapan,ID,76.24,overcast clouds,-1.2675,116.8289,ibis Balikpapan
98,Atuona,PF,77.31,scattered clouds,-9.8,-139.0333,Villa Enata
99,Kushima,JP,75.56,overcast clouds,31.4583,131.2333,Shibushiwan Daikoku Resort Hotel
101,Linqiong,CN,76.01,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
106,Culebra,PR,86.88,broken clouds,18.303,-65.301,Palmetto Guesthouse
107,Podor,MR,88.95,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
114,Korla,CN,89.67,overcast clouds,41.7597,86.1469,Gulisitan Hotel
115,Akdepe,TM,78.8,broken clouds,42.0551,59.3788,Мой дом
116,Saskylakh,RU,72.07,few clouds,71.9167,114.0833,
119,Khatanga,RU,71.78,scattered clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
120,San Quintin,MX,75.87,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
130,Kapaa,US,86.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
131,Veraval,IN,81.32,overcast clouds,20.9,70.3667,Lords Inn Somnath
132,Griffith,US,74.08,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
133,Kavieng,PG,81.39,light rain,-2.5744,150.7967,Nusa Island Retreat
136,Santa Ines,BR,76.48,moderate rain,-3.6667,-45.38,Palace hotel
139,Phan Thiet,VN,76.46,overcast clouds,10.9333,108.1,Hotel Saigon-PT
147,Buraydah,SA,89.73,scattered clouds,26.326,43.975,فندق راحة السلام
148,Jining,CN,73.69,clear sky,35.405,116.5814,Yunhe Star Hotel
149,Kulhudhuffushi,MV,81.91,broken clouds,6.6221,73.07,Hondaafushi Island Resort
153,West Wendover,US,85.21,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
154,Pochutla,MX,90.82,broken clouds,15.7432,-96.4661,Bahia de la Luna
155,Cozumel,MX,89.11,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
156,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
158,Mangai,CD,77.47,scattered clouds,-4.05,19.5333,
160,Shouguang,CN,70.56,clear sky,36.88,118.7375,Communications Hotel
161,Tenali,IN,84.78,overcast clouds,16.2425,80.6398,Goutham Grand Hotel
163,Kendrapara,IN,82.29,overcast clouds,20.5042,86.416,Hotel Mayuri Palace
164,Samarai,PG,79.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
166,Lamu,KE,75.42,overcast clouds,-2.2717,40.902,Lamu House
168,Erzin,TR,81.32,clear sky,36.9559,36.2,Artemis Otel
