,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Gatton,AU,-27.55,152.2833,53.64,91,0,0.94,clear sky
1,Tevaitoa,PF,-16.7833,-151.5,77.52,74,68,17.38,broken clouds
2,Kruisfontein,ZA,-34.0033,24.7314,47.88,78,9,4.03,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,51.44,93,2,4.21,clear sky
4,Urumqi,CN,43.801,87.6005,59.95,77,75,6.71,broken clouds
5,Yellowknife,CA,62.456,-114.3525,74.28,50,93,7.2,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,72.45,71,74,8.7,broken clouds
7,Esperance,AU,-33.8667,121.9,45.68,85,74,10.8,light rain
8,Teguldet,RU,57.3064,88.1667,50.23,96,10,4.09,clear sky
9,Katsuura,JP,35.1333,140.3,79.11,86,11,8.88,few clouds
10,Ponta Do Sol,PT,32.6667,-17.1,74.01,78,7,6.49,clear sky
11,Butaritari,KI,3.0707,172.7902,81.46,74,93,4.79,moderate rain
12,Ushuaia,AR,-54.8,-68.3,35.26,80,75,18.41,drizzle
13,Albanel,CA,48.8832,-72.4487,53.74,79,100,14.99,overcast clouds
14,Bengkulu,ID,-3.8004,102.2655,74.59,92,24,5.17,few clouds
15,Ban Mo,TH,14.6154,100.7273,82.29,99,100,5.26,light rain
16,Hualmay,PE,-11.0964,-77.6139,67.08,73,19,13.18,few clouds
17,Sitka,US,57.0531,-135.33,67.89,64,40,14.97,scattered clouds
18,Avarua,CK,-21.2078,-159.775,75.25,69,20,10.36,few clouds
19,Mayumba,GA,-3.432,10.6554,71.85,87,36,7.85,scattered clouds
20,Beauchamps,FR,50.012,1.5176,63.48,82,4,19.48,clear sky
21,Jamestown,US,42.097,-79.2353,71.1,63,75,8.01,broken clouds
22,Lagoa,PT,39.05,-27.9833,71.08,84,3,7.65,clear sky
23,Morondava,MG,-20.2833,44.2833,70.74,69,23,6.93,few clouds
24,Chara,RU,56.9064,118.2631,53.46,66,36,3.47,scattered clouds
25,Kaitangata,NZ,-46.2817,169.8464,50.94,84,95,4.09,light rain
26,Tasiilaq,GL,65.6145,-37.6368,50.16,78,20,0.36,few clouds
27,Kahului,US,20.8947,-156.47,86.97,66,40,24.16,scattered clouds
28,Smithers,CA,54.7804,-127.1743,84.27,35,1,4.12,clear sky
